starttime	seconds	ctime	dtime	ttime	wait
Mon Jul 21 21:05:21 2025	1753128321	13	23	36	22
Mon Jul 21 21:05:21 2025	1753128321	19	21	40	18
Mon Jul 21 21:05:21 2025	1753128321	0	45	45	24
Mon Jul 21 21:05:21 2025	1753128321	18	35	52	34
Mon Jul 21 21:05:21 2025	1753128321	18	35	53	35
Mon Jul 21 21:05:21 2025	1753128321	19	35	54	34
Mon Jul 21 21:05:21 2025	1753128321	19	36	55	35
Mon Jul 21 21:05:21 2025	1753128321	18	37	55	37
Mon Jul 21 21:05:21 2025	1753128321	17	39	56	39
Mon Jul 21 21:05:21 2025	1753128321	19	37	56	37
Mon Jul 21 21:05:21 2025	1753128321	19	39	58	39
Mon Jul 21 21:05:21 2025	1753128321	17	42	59	41
Mon Jul 21 21:05:21 2025	1753128321	18	43	61	42
Mon Jul 21 21:05:21 2025	1753128321	18	42	61	42
Mon Jul 21 21:05:21 2025	1753128321	18	44	62	43
Mon Jul 21 21:05:21 2025	1753128321	19	44	63	44
Mon Jul 21 21:05:22 2025	1753128322	2	64	65	63
Mon Jul 21 21:05:21 2025	1753128321	18	51	69	51
Mon Jul 21 21:05:21 2025	1753128321	18	52	70	52
Mon Jul 21 21:05:21 2025	1753128321	19	52	70	51
Mon Jul 21 21:05:21 2025	1753128321	19	52	71	52
Mon Jul 21 21:05:21 2025	1753128321	19	52	71	52
Mon Jul 21 21:05:22 2025	1753128322	1	72	73	71
Mon Jul 21 21:05:22 2025	1753128322	31	58	90	42
Mon Jul 21 21:05:22 2025	1753128322	31	66	97	56
Mon Jul 21 21:05:21 2025	1753128321	17	80	97	80
Mon Jul 21 21:05:21 2025	1753128321	18	80	98	80
Mon Jul 21 21:05:21 2025	1753128321	18	80	99	79
Mon Jul 21 21:05:22 2025	1753128322	38	65	103	65
Mon Jul 21 21:05:21 2025	1753128321	18	86	104	85
Mon Jul 21 21:05:21 2025	1753128321	18	86	104	85
Mon Jul 21 21:05:21 2025	1753128321	19	87	106	87
Mon Jul 21 21:05:21 2025	1753128321	17	90	107	88
Mon Jul 21 21:05:21 2025	1753128321	18	91	109	90
Mon Jul 21 21:05:21 2025	1753128321	18	92	110	92
Mon Jul 21 21:05:21 2025	1753128321	19	91	110	91
Mon Jul 21 21:05:21 2025	1753128321	18	93	111	93
Mon Jul 21 21:05:21 2025	1753128321	19	93	111	92
Mon Jul 21 21:05:21 2025	1753128321	18	95	113	95
Mon Jul 21 21:05:21 2025	1753128321	18	95	114	95
Mon Jul 21 21:05:21 2025	1753128321	19	95	114	95
Mon Jul 21 21:05:21 2025	1753128321	18	96	114	96
Mon Jul 21 21:05:21 2025	1753128321	17	98	115	98
Mon Jul 21 21:05:21 2025	1753128321	19	99	117	98
Mon Jul 21 21:05:22 2025	1753128322	36	87	124	86
Mon Jul 21 21:05:22 2025	1753128322	61	64	125	59
Mon Jul 21 21:05:22 2025	1753128322	60	66	125	66
Mon Jul 21 21:05:21 2025	1753128321	18	110	127	107
Mon Jul 21 21:05:21 2025	1753128321	18	109	128	102
Mon Jul 21 21:05:21 2025	1753128321	19	110	128	102
Mon Jul 21 21:05:22 2025	1753128322	61	69	129	67
Mon Jul 21 21:05:21 2025	1753128321	18	112	129	107
Mon Jul 21 21:05:22 2025	1753128322	0	133	133	132
Mon Jul 21 21:05:22 2025	1753128322	61	72	133	72
Mon Jul 21 21:05:22 2025	1753128322	65	72	137	68
Mon Jul 21 21:05:22 2025	1753128322	61	79	140	74
Mon Jul 21 21:05:21 2025	1753128321	18	123	141	122
Mon Jul 21 21:05:22 2025	1753128322	68	74	142	73
Mon Jul 21 21:05:21 2025	1753128321	19	124	143	122
Mon Jul 21 21:05:22 2025	1753128322	0	146	146	130
Mon Jul 21 21:05:22 2025	1753128322	0	150	150	149
Mon Jul 21 21:05:22 2025	1753128322	91	65	156	65
Mon Jul 21 21:05:21 2025	1753128321	14	148	161	146
Mon Jul 21 21:05:22 2025	1753128322	0	162	162	159
Mon Jul 21 21:05:22 2025	1753128322	0	162	162	161
Mon Jul 21 21:05:21 2025	1753128321	18	144	162	143
Mon Jul 21 21:05:21 2025	1753128321	18	145	163	144
Mon Jul 21 21:05:22 2025	1753128322	0	164	164	154
Mon Jul 21 21:05:22 2025	1753128322	0	164	164	164
Mon Jul 21 21:05:21 2025	1753128321	12	152	164	152
Mon Jul 21 21:05:21 2025	1753128321	18	148	166	147
Mon Jul 21 21:05:21 2025	1753128321	19	148	166	147
Mon Jul 21 21:05:21 2025	1753128321	18	148	166	147
Mon Jul 21 21:05:22 2025	1753128322	0	167	167	150
Mon Jul 21 21:05:22 2025	1753128322	0	167	168	151
Mon Jul 21 21:05:21 2025	1753128321	17	152	169	151
Mon Jul 21 21:05:21 2025	1753128321	18	152	169	150
Mon Jul 21 21:05:21 2025	1753128321	17	154	171	149
Mon Jul 21 21:05:21 2025	1753128321	13	159	171	156
Mon Jul 21 21:05:21 2025	1753128321	18	154	172	154
Mon Jul 21 21:05:22 2025	1753128322	0	172	172	172
Mon Jul 21 21:05:21 2025	1753128321	18	155	173	155
Mon Jul 21 21:05:21 2025	1753128321	18	158	176	156
Mon Jul 21 21:05:22 2025	1753128322	0	177	177	174
Mon Jul 21 21:05:21 2025	1753128321	19	160	179	160
Mon Jul 21 21:05:21 2025	1753128321	12	167	179	163
Mon Jul 21 21:05:21 2025	1753128321	12	167	180	167
Mon Jul 21 21:05:21 2025	1753128321	17	163	181	160
