starttime	seconds	ctime	dtime	ttime	wait
Mon Jul 21 21:20:54 2025	1753129254	0	8	8	7
Mon Jul 21 21:20:55 2025	1753129255	0	8	8	7
Mon Jul 21 21:20:55 2025	1753129255	0	8	8	8
Mon Jul 21 21:20:55 2025	1753129255	0	8	8	8
Mon Jul 21 21:20:55 2025	1753129255	0	8	8	8
Mon Jul 21 21:20:55 2025	1753129255	0	9	9	8
Mon Jul 21 21:20:55 2025	1753129255	0	9	9	8
Mon Jul 21 21:20:54 2025	1753129254	0	9	9	8
Mon Jul 21 21:20:55 2025	1753129255	1	9	9	8
Mon Jul 21 21:20:55 2025	1753129255	1	9	10	8
Mon Jul 21 21:20:56 2025	1753129256	0	10	10	8
Mon Jul 21 21:20:55 2025	1753129255	0	10	10	9
Mon Jul 21 21:20:54 2025	1753129254	0	10	10	9
Mon Jul 21 21:20:55 2025	1753129255	0	10	10	8
Mon Jul 21 21:20:54 2025	1753129254	0	10	10	9
Mon Jul 21 21:20:55 2025	1753129255	0	10	10	9
Mon Jul 21 21:20:55 2025	1753129255	0	10	10	8
Mon Jul 21 21:20:56 2025	1753129256	0	10	10	10
Mon Jul 21 21:20:55 2025	1753129255	0	10	11	8
Mon Jul 21 21:20:54 2025	1753129254	1	10	11	9
Mon Jul 21 21:20:55 2025	1753129255	0	10	11	10
Mon Jul 21 21:20:55 2025	1753129255	0	11	11	8
Mon Jul 21 21:20:55 2025	1753129255	0	11	11	10
Mon Jul 21 21:20:56 2025	1753129256	0	11	11	10
Mon Jul 21 21:20:54 2025	1753129254	0	11	11	9
Mon Jul 21 21:20:56 2025	1753129256	1	10	11	9
Mon Jul 21 21:20:55 2025	1753129255	0	11	11	10
Mon Jul 21 21:20:56 2025	1753129256	0	11	11	10
Mon Jul 21 21:20:56 2025	1753129256	0	11	11	8
Mon Jul 21 21:20:56 2025	1753129256	0	11	11	9
Mon Jul 21 21:20:56 2025	1753129256	0	11	11	11
Mon Jul 21 21:20:55 2025	1753129255	0	11	11	11
Mon Jul 21 21:20:55 2025	1753129255	0	12	12	11
Mon Jul 21 21:20:56 2025	1753129256	1	11	12	9
Mon Jul 21 21:20:55 2025	1753129255	0	12	12	10
Mon Jul 21 21:20:55 2025	1753129255	0	12	12	10
Mon Jul 21 21:20:56 2025	1753129256	0	12	12	7
Mon Jul 21 21:20:55 2025	1753129255	0	12	12	10
Mon Jul 21 21:20:55 2025	1753129255	0	12	12	12
Mon Jul 21 21:20:56 2025	1753129256	0	12	12	12
Mon Jul 21 21:20:54 2025	1753129254	0	12	12	9
Mon Jul 21 21:20:56 2025	1753129256	0	12	12	9
Mon Jul 21 21:20:55 2025	1753129255	0	12	12	12
Mon Jul 21 21:20:55 2025	1753129255	1	11	13	10
Mon Jul 21 21:20:56 2025	1753129256	0	13	13	9
Mon Jul 21 21:20:56 2025	1753129256	0	13	13	11
Mon Jul 21 21:20:56 2025	1753129256	0	13	13	12
Mon Jul 21 21:20:56 2025	1753129256	0	13	13	12
Mon Jul 21 21:20:56 2025	1753129256	0	13	13	12
Mon Jul 21 21:20:55 2025	1753129255	0	13	13	12
Mon Jul 21 21:20:54 2025	1753129254	1	12	13	11
